url,listing_id,breed,litter_name,sire_name,dam_name,breeder_name,breeder_url,kennel_name,location,county,date_born,date_available,puppies_available,males_available,females_available,price,kc_registered,health_tested,health_tests,microchipped,vaccinated,wormed,vet_checked,five_star_breeder,assured_breeder,licensed_breeder,description,image_url,raw_card_text
https://www.champdogs.co.uk/litter/77165,77165,Dobermann,New Litter (Pending),,,,,,Nottinghamshire,,18th December 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"Dobermann
*** New Litter ***
Nottinghamshire
18th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77177,77177,Rottweiler,New Litter (Pending),,,,,,Cheshire,,13th February 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Rottweiler
*** New Litter ***
Cheshire
13th February 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77176,77176,West Highland White Terrier,New Litter (Pending),,,,,,Norfolk,,12th December 2025,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"West Highland White Terrier
*** New Litter ***
Norfolk
12th December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77175,77175,Wire Haired Dachshund,New Litter (Pending),,,,,,Staffordshire,,22nd December 2025,,,,,,,Yes,,,,,,,,,,,"Wire Haired Dachshund
*** New Litter ***
Staffordshire
22nd December 2025
Sire Health Tested"
https://www.champdogs.co.uk/litter/77174,77174,Labrador Retriever,New Litter (Pending),,,,,,South Gloucestershire,,13th November 2025,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
*** New Litter ***
South Gloucestershire
13th November 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77173,77173,Staffordshire Bull Terrier,New Litter (Pending),,,,,,Staffordshire,,22nd October 2025,,,,,,,Yes,,,,,,,,,,,"Staffordshire Bull Terrier
*** New Litter ***
Manchester
22nd October 2025
Dam Fully Health Tested"
https://www.champdogs.co.uk/litter/77172,77172,Hungarian Vizsla,New Litter (Pending),,,,,,Lancashire,,6th January 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Hungarian Vizsla
*** New Litter ***
Lancashire
6th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77171,77171,Wire Haired Dachshund,New Litter (Pending),,,,,,Powys,,31st January 2026,,,,,,,Yes,,,,,,,,,,,"Wire Haired Dachshund
*** New Litter ***
Powys
31st January 2026
Sire Health Tested"
https://www.champdogs.co.uk/litter/77170,77170,Golden Retriever,New Litter (Pending),,,,,,Kent,,22nd April 2026,,,,,,,Yes,,,,,,,,,,,"Golden Retriever
*** New Litter ***
Kent
22nd April 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77169,77169,Boston Terrier,New Litter (Pending),,,,,,Kent,,25th February 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Boston Terrier
*** New Litter ***
Kent
25th February 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77167,77167,Labrador Retriever,New Litter (Pending),,,,,,Yorkshire,,16th January 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
*** New Litter ***
N Yorkshire
16th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77166,77166,Staffordshire Bull Terrier,New Litter (Pending),,,,,,Staffordshire,,8th December 2025,,,,,,,Yes,,,,,,,,,,,"Staffordshire Bull Terrier
*** New Litter ***
Essex
8th December 2025
Sire Health Tested"
https://www.champdogs.co.uk/litter/77159,77159,Flat Coated Retriever,New Litter (Pending),,,,,,,,13th January 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Flat Coated Retriever
*** New Litter ***
Co. Wexford
13th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77164,77164,Border Terrier,Bramblelot - Litter of Dual Purpose Border Terrier Puppies,,Bramblelot Electra,Bramblelot,https://www.champdogs.co.uk/breeder/446827,,East Sussex,,16th January 2026,,,,,,,Yes,,,,,,,,,,,"Border Terrier
Molevalley My Polyester x Bramblelot Electra
East Sussex
16th January 2026
Sire Fully Health Tested"
https://www.champdogs.co.uk/litter/77163,77163,Cocker Spaniel,FALTRUADH - Litter of Working Cocker Spaniel Puppies,,Kenxtwen Worthy Cause,FALTRUADH,https://www.champdogs.co.uk/breeder/399426,,lothian,,14th March 2026,,,,,,,Parents Health Tested,,,Yes,,,,,,,,"Cocker Spaniel
Auchendinny Wonderwall x Kenxtwen Worthy Cause
Midlothian
14th March 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77162,77162,Golden Retriever,Litter of Show Golden Retriever Puppies,,,Jean Cullen,https://www.champdogs.co.uk/breeder/545235,,,,31st December 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"Golden Retriever
Haremounts Buddy x Elizabeth Favourite Gold Friends (Ukr)
Co. Wexford
31st December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77161,77161,Labrador Retriever,Gingerfox - Litter of Working Labrador Retriever Puppies,,Gingerfox Annie,Gingerfox,https://www.champdogs.co.uk/breeder/391725,,Yorkshire,,28th January 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
Aglabs In Your Honour x Gingerfox Annie
East Riding of Yorkshire
28th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77160,77160,Cocker Spaniel,Litter of Show Cocker Spaniel Puppies,,Aylesmead Wishes and Kisses,Jayne Wilkinson,https://www.champdogs.co.uk/breeder/92791,,Northumberland,,13th January 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Cocker Spaniel
Orange Creamsicle x Aylesmead Wishes and Kisses
Northumberland
13th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77158,77158,Cavalier King Charles Spaniel,eikandi - Litter of Show Cavalier King Charles Spaniel Puppies,,"Rishtte Tala May
Nottingham",eikandi,https://www.champdogs.co.uk/breeder/8519,,,,12th November 2025,,,,,,Yes,Parents Health Tested,,Yes,,,,,,,,,"Cavalier King Charles Spaniel
Frondil Dandy Lion x Rishtte Tala May
Nottingham
12th November 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77155,77155,Golden Retriever,Litter of Dual Purpose Golden Retriever Puppies,,Jolayne Mercury Rising,Joanne Smith,https://www.champdogs.co.uk/breeder/34835,,Staffordshire,,7th January 2026,,,,,,Yes,Parents Health Tested,,,,Yes,,,,,,,"Golden Retriever
In Love Dreams Animal Triumph x Jolayne Mercury Rising
Staffordshire
7th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77154,77154,Labrador Retriever,EBESHB - Litter of Show Labrador Retriever Puppies,,Ebeshb Test of Love,EBESHB,https://www.champdogs.co.uk/breeder/59762,,East Yorkshire,,14th January 2026,,,,,,,Yes,,,,,,Yes,,,,,"Labrador Retriever
Ebeshb Vision Shared x Ebeshb Test of Love
East Yorkshire
14th January 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77153,77153,French Bulldog,Aidaarethan - Litter of Show French Bulldog Puppies,,Leyenda Hotline Bling,Aidaarethan,https://www.champdogs.co.uk/breeder/475264,,,,9th December 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"French Bulldog
Foxybullz Yogie Bear von Leyenda x Leyenda Hotline Bling
West Dunbartonshire
9th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77152,77152,Border Terrier,Whelpstone Border Terrier & Labradors - Litter of Dual Purpose Border Terrier Puppies,ShCM,Kenxtwen Daisy Roots,Whelpstone Border Terrier & Labradors,https://www.champdogs.co.uk/breeder/418688,,North Yorkshire,,8th January 2026,,,,,"£1,500",,Parents Fully Health Tested,,,,Yes,,,,,,,"Border Terrier
Chorbeck Chatty Man JW ShCM x Kenxtwen Daisy Roots
North Yorkshire
8th January 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77150,77150,Dalmatian,Dalarisa - Litter of Dual Purpose Dalmatian Puppies,,Dalfellin Agape at Dalarisa,Dalarisa,https://www.champdogs.co.uk/breeder/222735,,Essex,,25th March 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Dalmatian
Offordale Grenadier x Dalfellin Agape at Dalarisa
Essex
25th March 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77149,77149,Cavalier King Charles Spaniel,Litter of Show Cavalier King Charles Spaniel Puppies,,Jolainey Real Dream,Samantha Passmore,https://www.champdogs.co.uk/breeder/538451,,Hampshire,,5th January 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Cavalier King Charles Spaniel
Szolohegyi Bitanguzo Sady (Imp Hun) x Jolainey Real Dream
Hampshire
5th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77148,77148,Hungarian Vizsla,Cotswoldawn Hungarian Vizslas - Litter of Dual Purpose Hungarian Vizsla Puppies,,Cotswoldawn Dibble,Cotswoldawn Hungarian Vizslas,https://www.champdogs.co.uk/breeder/545527,,Worcestershire,,20th December 2025,,,,,,Yes,Yes,,Yes,,Yes,,,,,,,"Hungarian Vizsla
Theon Greyjoy x Cotswoldawn Dibble
Worcestershire
20th December 2025
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77147,77147,Miniature Schnauzer,Trefaldwyn - Litter of Dual Purpose Miniature Schnauzer Puppies,,Lloegr Take A Chance,Trefaldwyn,https://www.champdogs.co.uk/breeder/24722,,Powys,,26th December 2025,,,,,,,Parents Health Tested,,,Yes,Yes,,,,,,,"Miniature Schnauzer
Lloegr Llewellyn of Trefaldwyn x Lloegr Take A Chance
Powys
26th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77146,77146,Hungarian Wirehaired Vizsla,Fosterwold - Litter of Working Hungarian Wirehaired Vizsla Puppies,,Fosterwold Mindy,Fosterwold,https://www.champdogs.co.uk/breeder/135063,,North Yorkshire,,16th December 2025,,,,,,,Parents Fully Health Tested,,,Yes,,,,,,,,"Hungarian Wirehaired Vizsla
Love of My Life Wyzellovel (Imp Pol) x Fosterwold Mindy
North Yorkshire
16th December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77144,77144,Miniature Long Haired Dachshund,Opiedax - Litter of Show Miniature Long Haired Dachshund Puppies,,Dollybubbas Eternal,Opiedax,https://www.champdogs.co.uk/breeder/391938,,Hampshire,,16th December 2025,,,,,,Yes,Yes,,Yes,,,,,,,,,"Miniature Long Haired Dachshund
Emeraldax Nutcracker x Dollybubbas Eternal
Hampshire
16th December 2025
Sire Health Tested"
https://www.champdogs.co.uk/litter/77101,77101,English Springer Spaniel,Tolkienhurst - Litter of Working English Springer Spaniel Puppies,Ch Heathcroft Declan of Breckmarsh,Edgegrove Adita of Tolkienhurst,Tolkienhurst,https://www.champdogs.co.uk/breeder/48947,,Lancashire,,14th January 2026,,,,,£300,,Parents Health Tested,,Yes,Yes,,,Yes,,,,,"English Springer Spaniel
Ft Ch Heathcroft Declan of Breckmarsh x Edgegrove Adita of Tolkienhurst
Lancashire
14th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77142,77142,Labrador Retriever,Cuffstar - Litter of Working Labrador Retriever Puppies,,Cuffstar's Vixen,Cuffstar,https://www.champdogs.co.uk/breeder/95200,,North Devon,,10th January 2026,,,,,£400,,Parents Health Tested,,Yes,,Yes,,,,Yes,,,"Labrador Retriever
The Valley of Scarlet x Cuffstar's Vixen
North Devon
10th January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77141,77141,Miniature Long Haired Dachshund,Dashgram - Litter of Show Miniature Long Haired Dachshund Puppies,,Dashgram Bellis Perennis,Dashgram,https://www.champdogs.co.uk/breeder/420774,,Flintshire,,10th December 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"Miniature Long Haired Dachshund
Lavish Love at Onadaire x Dashgram Bellis Perennis
Flintshire
10th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77140,77140,Labrador Retriever,Bradridge - Litter of Working Labrador Retriever Puppies,,Mordonmanor Brandy Snap of Bradridge,Bradridge,https://www.champdogs.co.uk/breeder/107363,,Devon,,14th January 2026,,,,,,,Yes,,Yes,,Yes,,,,,,,"Labrador Retriever
Kenzduo Bonfire Glow of Bradridge x Mordonmanor Brandy Snap of Bradridge
Devon
14th January 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77110,77110,Standard Poodle,Shantallah - Litter of Dual Purpose Standard Poodle Puppies,Ch Hallifax Hightide Hedonist at Afterglow (Imp Usa),,Shantallah,https://www.champdogs.co.uk/breeder/3389,,Cumbria,,7th November 2025,,,,,,Yes,Parents Health Tested,,Yes,Yes,,,,,,,,"Standard Poodle
Ch Hallifax Hightide Hedonist at Afterglow (Imp Usa) x Smart Connection Electric Afterglow for Shantallah (Imp Pt)
Cumbria
7th November 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77138,77138,German Shorthaired Pointer,RIVERNHARG - Litter of Dual Purpose German Shorthaired Pointer Puppies,Sh Ch Winterwell Maida Stone,Rivernharg Cutsie Coot,RIVERNHARG,https://www.champdogs.co.uk/breeder/57811,,Buckinghamshire,,14th February 2026,,,,,,,Yes,,,,Yes,,,,,,,"German Shorthaired Pointer
Sh Ch Winterwell Maida Stone x Rivernharg Cutsie Coot
Buckinghamshire
14th February 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77137,77137,Hungarian Vizsla,OROSHAZA - Litter of Dual Purpose Hungarian Vizsla Puppies,,Oroshaza Foggieloan Bailey,OROSHAZA,https://www.champdogs.co.uk/breeder/33489,,Tayside,,11th January 2026,,,,,,,Yes,,,,,,,,,,,"Hungarian Vizsla
Betekints Kende with Oroshaza (Imp Hun) x Oroshaza Foggieloan Bailey
Tayside
11th January 2026
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77134,77134,Labrador Retriever,Flyenpyg - Litter of Show Labrador Retriever Puppies,,"Flyenpyg Amy Swinehouse JW
Lancs",Flyenpyg,https://www.champdogs.co.uk/breeder/28297,,,,20th December 2025,,,,,,,Yes,,,,,,,,,,,"Labrador Retriever
Binnaig Sea Barnacle On Flyenpyg JW x Flyenpyg Amy Swinehouse JW
Lancs
20th December 2025
Sire Fully Health Tested
Dam Health Tested"
https://www.champdogs.co.uk/litter/77133,77133,Golden Retriever,Litter of Show Golden Retriever Puppies,,"Standelbec Martina
Vale of Glamorgan",Ci aur llyn retrievers,https://www.champdogs.co.uk/breeder/429571,,,,21st February 2026,,,,,,,Parents Health Tested,,,,,,,,,,,"Golden Retriever
Johnsongrace Choccy Chip x Standelbec Martina
Vale of Glamorgan
21st February 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77132,77132,Border Collie,Donsedohr - Litter of Dual Purpose Border Collie Puppies,,Donsedohr Moncreiffe Maid,Donsedohr,https://www.champdogs.co.uk/breeder/260783,,South Yorkshire,,2nd January 2026,,,,,£250,,Parents Health Tested,,Yes,,Yes,,,,,,,"Border Collie
Rock Me Amadeus Wolfgang x Donsedohr Moncreiffe Maid
South Yorkshire
2nd January 2026
Parents Health Tested"
https://www.champdogs.co.uk/litter/77131,77131,Miniature Schnauzer,RAINBOWPAWS - Litter of Dual Purpose Miniature Schnauzer Puppies,,Silver'winhunters Serena Imp Rus,RAINBOWPAWS,https://www.champdogs.co.uk/breeder/36953,,Norfolk,,7th November 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"Miniature Schnauzer
Ales Di Fortuna and Easy Win x Silver'winhunters Serena Imp Rus
Norfolk
7th November 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77130,77130,Jack Russell Terrier,Thornywait - Litter of Show Jack Russell Terrier Puppies,,Putjade Cinnamon Swirl,Thornywait,https://www.champdogs.co.uk/breeder/2037,,Leicestershire,,7th February 2026,,,,,,Yes,Yes,,,,,,,,,,,"Jack Russell Terrier
Calavey's Illusionist x Putjade Cinnamon Swirl
Leicestershire
7th February 2026
Sire Fully Health Tested"
https://www.champdogs.co.uk/litter/77126,77126,Labrador Retriever,SASSJEND - Litter of Show Labrador Retriever Puppies,ShCEx,Ansjoros Goldilocks,SASSJEND,https://www.champdogs.co.uk/breeder/540835,,Suffolk,,3rd December 2025,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Labrador Retriever
Magnavalleys Cornishman ShCEx x Ansjoros Goldilocks
Suffolk
3rd December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77118,77118,Golden Retriever,WINTERWOLD - Litter of Dual Purpose Golden Retriever Puppies,,Kenleap Dragonfly,WINTERWOLD,https://www.champdogs.co.uk/breeder/224404,,Lincolnshire,,14th December 2025,,,,,,Yes,Parents Health Tested,,Yes,,Yes,,,,,,,"Golden Retriever
Burtoncroft Eiswein x Kenleap Dragonfly
Lincolnshire
14th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77125,77125,Whippet,Litter of Dual Purpose Whippet Puppies,Ch Collooney Eat My Shorts at Runforest JW,"Heavenshire Moon Halo
Tyne and Wear",Gareth Bainbridge,https://www.champdogs.co.uk/breeder/545012,,,,21st November 2025,,,,,,,,,,,,,,,,,,"Whippet
Ch Collooney Eat My Shorts at Runforest JW x Heavenshire Moon Halo
Tyne and Wear
21st November 2025"
https://www.champdogs.co.uk/litter/77124,77124,Labrador Retriever,Morkulla - Litter of Working Labrador Retriever Puppies,Ch Rowpainter Othello,"Birdsgreen Poetry at Morkulla
N Yorks",Morkulla,https://www.champdogs.co.uk/breeder/35333,,,,10th March 2026,,,,,,,Yes,,,,,,,,,,,"Labrador Retriever
Ft Ch Rowpainter Othello x Birdsgreen Poetry at Morkulla
N Yorks
10th March 2026
Sire Health Tested
Dam Fully Health Tested"
https://www.champdogs.co.uk/litter/77123,77123,Standard Poodle,Altalune - Litter of Dual Purpose Standard Poodle Puppies,,Altalune Sweet Euphoria,Altalune,https://www.champdogs.co.uk/breeder/362674,,Berkshire,,31st December 2025,,,,,£2000,Yes,Parents Health Tested,,Yes,,,,,,,,,"Standard Poodle
No Pyro No Party x Altalune Sweet Euphoria
Berkshire
31st December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77120,77120,Whippet,SILKRIDGE - Litter of Show Whippet Puppies,,West Chelan Just Josie with Silkridge,SILKRIDGE,https://www.champdogs.co.uk/breeder/87120,,Flintshire,,22nd December 2025,,,,,,,Yes,,,,,,,,,,,"Whippet
Wolfscastle Crown Jules x West Chelan Just Josie with Silkridge
Flintshire
22nd December 2025
Sire Fully Health Tested"
https://www.champdogs.co.uk/litter/77119,77119,Basset Hound,REVEROS - Litter of Show Basset Hound Puppies,,What Love Is Lita Giraites Unija,REVEROS,https://www.champdogs.co.uk/breeder/388193,,Northamptonshire,,29th December 2025,,,,,,,Parents Health Tested,,,,Yes,,,,,,,"Basset Hound
Wildebeest Will V Grunsven (Imp Nld) x What Love Is Lita Giraites Unija
Northamptonshire
29th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77117,77117,Havanese,Kaspurgold - Litter of Show Havanese Puppies,Ch Adorele Master of The House,Locoka Missy Bee,Kaspurgold,https://www.champdogs.co.uk/breeder/9868,,Somerset,,21st December 2025,,,,,,Yes,Parents Fully Health Tested,,,,,,,,,,,"Havanese
Ch Adorele Master of The House x Locoka Missy Bee
Somerset
21st December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77116,77116,Shetland Sheepdog,Prince of Sunlight - Litter of Dual Purpose Shetland Sheepdog Puppies,Ch Stasyline Discovery,"Prince of Sunlight Piritta
Hungary",Prince of Sunlight,https://www.champdogs.co.uk/breeder/10120,,,,25th December 2025,,,,,,,Parents Health Tested,,,,,,,,,,,"Shetland Sheepdog
Rus Ch Stasyline Discovery x Prince of Sunlight Piritta
Hungary
25th December 2025
Parents Health Tested"
https://www.champdogs.co.uk/litter/77112,77112,Labrador Retriever,Trewinnard - Litter of Show Labrador Retriever Puppies,Sh Ch Binnaig Bonnach for Tullochmohr JW,Trewinnard Bespoke,Trewinnard,https://www.champdogs.co.uk/breeder/43564,,Somerset,,5th January 2026,,,,,,,Yes,,,,,,,,,,,"Labrador Retriever
Sh Ch Binnaig Bonnach for Tullochmohr JW x Trewinnard Bespoke
Somerset
5th January 2026
Sire Health Tested
Dam Fully Health Tested"
https://www.champdogs.co.uk/litter/77093,77093,Scottish Terrier,RILYNSON - Litter of Show Scottish Terrier Puppies,,"Glengracie Tak The High Road to Rilynson
Isle of Wight",RILYNSON,https://www.champdogs.co.uk/breeder/540601,,,,31st October 2025,,,,,,Yes,,,,,,,,,,,,"Scottish Terrier
Berrybreeze Tonka Bean x Glengracie Tak The High Road to Rilynson
Isle of Wight
31st October 2025"
https://www.champdogs.co.uk/litter/77115,77115,Labrador Retriever,Chaysehollow Labradors - Litter of Working Labrador Retriever Puppies,Ch Etomanni Missouri,Chaysehollow's Aurelia,Chaysehollow Labradors,https://www.champdogs.co.uk/breeder/85754,,Warwickshire,,21st December 2025,,,,,,,Parents Fully Health Tested,,Yes,,Yes,,,,Yes,,,"Labrador Retriever
Ft Ch Etomanni Missouri x Chaysehollow's Aurelia
Warwickshire
21st December 2025
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77114,77114,Rhodesian Ridgeback,PENHOLDA - Litter of Dual Purpose Rhodesian Ridgeback Puppies,Ch Hespa Hermes JW,Penholda Sweet Lady JW,PENHOLDA,https://www.champdogs.co.uk/breeder/73540,,,,10th June 2026,,,,,,,Parents Fully Health Tested,,,,,,,,,,,"Rhodesian Ridgeback
Ch Hespa Hermes JW x Penholda Sweet Lady JW
Cleveland
10th June 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77113,77113,Golden Retriever,ROBYNGRACE - Litter of Working Golden Retriever Puppies,,Celynbryn Day Dreamer,ROBYNGRACE,https://www.champdogs.co.uk/breeder/506458,,West Glamorgan,,5th February 2026,,,,,,Yes,Parents Fully Health Tested,,Yes,,,,,,,,,"Golden Retriever
Brynbachlove Lion's Heart x Celynbryn Day Dreamer
West Glamorgan
5th February 2026
Parents Fully Health Tested"
https://www.champdogs.co.uk/litter/77111,77111,Miniature Poodle,Starmarla - Litter of Dual Purpose Miniature Poodle Puppies,,Starianna Jessie Jay with Starmarla,Starmarla,https://www.champdogs.co.uk/breeder/540133,,Lancashire,,5th November 2025,,,,,,Yes,Parents Health Tested,,Yes,,Yes,,,,,,,"Miniature Poodle
Silvora Cristal Star JW x Starianna Jessie Jay with Starmarla
Lancashire
5th November 2025
Parents Health Tested"
